,L,b1,b2,alpha_l,b_sec1_b1,b_sec2_b1,b_sec1_b2,b_sec2_b2,l_sec,t_p,t_w,h_w,h_F,h_S1_3,h_S7_9,h_v,l_v,left_p,right_p,h_b,b_b,fcc,fsy,fsu,esu,d_p_1_o,d_p_1_i,s_p_1_o,s_p_1_i,d_p_2_o,d_p_2_i,s_p_2_o,s_p_2_i,d_p_3_o,d_p_3_i,s_p_3_o,s_p_3_i,d_p_4_o,d_p_4_i,s_p_4_o,s_p_4_i,d_p_5_o,d_p_5_i,s_p_5_o,s_p_5_i,d_p_6_o,d_p_6_i,s_p_6_o,s_p_6_i,d_p_7_o,d_p_7_i,s_p_7_o,s_p_7_i,d_p_8_o,d_p_8_i,s_p_8_o,s_p_8_i,d_p_9_o,d_p_9_i,s_p_9_o,s_p_9_i,d_w1_1_o,d_w1_1_i,s_w1_1_o,s_w1_1_i,d_w1_2_o,d_w1_2_i,s_w1_2_o,s_w1_2_i,d_w1_3_o,d_w1_3_i,s_w1_3_o,s_w1_3_i,d_w1_4_o,d_w1_4_i,s_w1_4_o,s_w1_4_i,d_w1_5_o,d_w1_5_i,s_w1_5_o,s_w1_5_i,d_w1_6_o,d_w1_6_i,s_w1_6_o,s_w1_6_i,d_w1_7_o,d_w1_7_i,s_w1_7_o,s_w1_7_i,d_w1_8_o,d_w1_8_i,s_w1_8_o,s_w1_8_i,d_w1_9_o,d_w1_9_i,s_w1_9_o,s_w1_9_i,d_w2_1_o,d_w2_1_i,s_w2_1_o,s_w2_1_i,d_w2_2_o,d_w2_2_i,s_w2_2_o,s_w2_2_i,d_w2_3_o,d_w2_3_i,s_w2_3_o,s_w2_3_i,d_w2_4_o,d_w2_4_i,s_w2_4_o,s_w2_4_i,d_w2_5_o,d_w2_5_i,s_w2_5_o,s_w2_5_i,d_w2_6_o,d_w2_6_i,s_w2_6_o,s_w2_6_i,d_w2_7_o,d_w2_7_i,s_w2_7_o,s_w2_7_i,d_w2_8_o,d_w2_8_i,s_w2_8_o,s_w2_8_i,d_w2_9_o,d_w2_9_i,s_w2_9_o,s_w2_9_i,withMPCs,offsetmodeling,mesh_size_factor,ecu
1590,11736,26454,14474,111,0.3281244836916665,0.30078152871478275,0.09178625375932226,0.3150620705123546,0.39957138397959147,1487,205,4872,1093,0.29656884325909805,0.1776064208898973,0,0,False,False,0,0,90,600.0006431829078,850.0005625654159,0.8000017315383744,20,30,200,100,20,30,200,100,20,30,200,100,20,30,200,100,20,30,200,100,20,30,200,100,20,30,200,100,20,30,200,100,20,30,200,100,12,16,200,250,12,16,200,250,12,16,200,250,12,16,200,250,12,16,200,250,12,16,200,250,12,16,200,250,12,16,200,250,12,16,200,250,20,18,100,100,20,18,100,100,20,18,100,100,20,18,100,100,20,18,100,100,20,18,100,100,20,18,100,100,20,18,100,100,20,18,100,100,True,True,100,-0.0026004968327615766
1591,12257,15903,14150,91,0.14941046470730002,0.11566350123004723,0.2790361628899583,0.2694464483840208,0.34917555467325406,950,582,4388,1486,0.08322873606808426,0.25131469268727663,0,0,False,False,0,0,45,600.0006901065232,850.0003347474388,0.8000020180948116,14,16,100,100,14,16,100,100,14,16,100,100,14,16,100,100,14,16,100,100,14,16,100,100,14,16,100,100,14,16,100,100,14,16,100,100,14,14,150,100,14,14,150,100,14,14,150,100,14,14,150,100,14,14,150,100,14,14,150,100,14,14,150,100,14,14,150,100,14,14,150,100,12,26,100,100,12,26,100,100,12,26,100,100,12,26,100,100,12,26,100,100,12,26,100,100,12,26,100,100,12,26,100,100,12,26,100,100,True,True,100,-0.002
1592,4859,18719,24622,62,0.34827211486908927,0.29023443280584865,0.09131078647382014,0.2263426885016911,0.3654145826171712,292,921,3685,245,0.3377519866144892,0.06302807563765392,0,0,False,False,0,0,70,600.0002943666885,850.000002594947,0.8000014848202934,14,26,75,100,14,26,75,100,14,26,75,100,14,26,75,100,14,26,75,100,14,26,75,100,14,26,75,100,14,26,75,100,14,26,75,100,12,22,100,100,12,22,100,100,12,22,100,100,12,22,100,100,12,22,100,100,12,22,100,100,12,22,100,100,12,22,100,100,12,22,100,100,16,16,250,200,16,16,250,200,16,16,250,200,16,16,250,200,16,16,250,200,16,16,250,200,16,16,250,200,16,16,250,200,16,16,250,200,True,True,100,-0.0024158769243143416
1593,3934,24298,32013,69,0.11943249852721989,0.39523136324726327,0.09668621096897008,0.22952225833670714,0.140361382520166,446,147,3461,1499,0.447527285028215,0.37632158195073656,0,0,False,False,0,0,60,600.0001597323791,850.0005221512142,0.8000035773222687,26,30,100,75,26,30,100,75,26,30,100,75,26,30,100,75,26,30,100,75,26,30,100,75,26,30,100,75,26,30,100,75,26,30,100,75,16,20,200,100,16,20,200,100,16,20,200,100,16,20,200,100,16,20,200,100,16,20,200,100,16,20,200,100,16,20,200,100,16,20,200,100,20,18,250,150,20,18,250,150,20,18,250,150,20,18,250,150,20,18,250,150,20,18,250,150,20,18,250,150,20,18,250,150,20,18,250,150,True,True,100,-0.0022880175327183224
1594,3903,32282,33178,104,0.14892960141489475,0.07225676143659276,0.4437404201283727,0.25545092660759083,0.36836689654924015,1176,1293,2332,344,0.08889031823888022,0.22192357984886085,0,0,False,False,0,0,40,600.0001183995149,850.0004703428634,0.8000023807036629,30,14,75,100,30,14,75,100,30,14,75,100,30,14,75,100,30,14,75,100,30,14,75,100,30,14,75,100,30,14,75,100,30,14,75,100,12,12,250,100,12,12,250,100,12,12,250,100,12,12,250,100,12,12,250,100,12,12,250,100,12,12,250,100,12,12,250,100,12,12,250,100,26,18,100,250,26,18,100,250,26,18,100,250,26,18,100,250,26,18,100,250,26,18,100,250,26,18,100,250,26,18,100,250,26,18,100,250,True,True,100,-0.002
1595,15763,34860,10779,97,0.3947837951250727,0.133484334425715,0.3753462679132563,0.17299892349926743,0.4155822453406156,823,101,3515,531,0.15697065437367447,0.14680619040549595,0,0,False,False,0,0,45,600.0004769167958,850.0005737170248,0.8000034644551914,18,22,250,250,18,22,250,250,18,22,250,250,18,22,250,250,18,22,250,250,18,22,250,250,18,22,250,250,18,22,250,250,18,22,250,250,26,10,150,100,26,10,150,100,26,10,150,100,26,10,150,100,26,10,150,100,26,10,150,100,26,10,150,100,26,10,150,100,26,10,150,100,16,20,200,150,16,20,200,150,16,20,200,150,16,20,200,150,16,20,200,150,16,20,200,150,16,20,200,150,16,20,200,150,16,20,200,150,True,True,100,-0.002
1596,11975,19804,21548,94,0.20487270147755438,0.4081374301503809,0.17536326876565617,0.411904563746202,0.29170061633786204,286,1273,4095,104,0.11559850557917101,0.43963348115689405,0,0,False,False,0,0,70,600.0004595367838,850.0009461511954,0.8000021860944115,20,18,75,75,20,18,75,75,20,18,75,75,20,18,75,75,20,18,75,75,20,18,75,75,20,18,75,75,20,18,75,75,20,18,75,75,30,30,200,150,30,30,200,150,30,30,200,150,30,30,200,150,30,30,200,150,30,30,200,150,30,30,200,150,30,30,200,150,30,30,200,150,30,14,250,75,30,14,250,75,30,14,250,75,30,14,250,75,30,14,250,75,30,14,250,75,30,14,250,75,30,14,250,75,30,14,250,75,True,True,100,-0.0024158769243143416
1597,8770,14250,10377,79,0.29624868108215074,0.11760384234527982,0.41575086928556093,0.11450696596559641,0.11416432120944027,1055,758,4477,592,0.3113362316594564,0.19948418420771535,0,0,False,False,0,0,60,600.0007631114005,850.0002417021722,0.8000082298069633,12,12,100,150,12,12,100,150,12,12,100,150,12,12,100,150,12,12,100,150,12,12,100,150,12,12,100,150,12,12,100,150,12,12,100,150,22,30,150,100,22,30,150,100,22,30,150,100,22,30,150,100,22,30,150,100,22,30,150,100,22,30,150,100,22,30,150,100,22,30,150,100,16,16,250,100,16,16,250,100,16,16,250,100,16,16,250,100,16,16,250,100,16,16,250,100,16,16,250,100,16,16,250,100,16,16,250,100,True,True,100,-0.0022880175327183224
1598,8267,28860,10209,71,0.08381629975162491,0.14135527499195205,0.09280304212294985,0.1286448571313757,0.4222651928831165,1105,1253,3099,682,0.084704622537094,0.3680000001551221,0,0,False,False,0,0,80,600.0000241156401,850.0005725348922,0.8000096248413602,16,20,150,200,16,20,150,200,16,20,150,200,16,20,150,200,16,20,150,200,16,20,150,200,16,20,150,200,16,20,150,200,16,20,150,200,16,26,200,75,16,26,200,75,16,26,200,75,16,26,200,75,16,26,200,75,16,26,200,75,16,26,200,75,16,26,200,75,16,26,200,75,20,12,100,100,20,12,100,100,20,12,100,100,20,12,100,100,20,12,100,100,20,12,100,100,20,12,100,100,20,12,100,100,20,12,100,100,True,True,100,-0.002515576591108743
1599,14922,16883,10990,65,0.09659532883704254,0.08738004149720668,0.18686334645527392,0.3710149941623899,0.3401852705672318,1362,1495,3193,1289,0.07917163722842742,0.11429633028362321,0,0,False,False,0,0,55,600.0009824947387,850.0009456259518,0.8000050869539201,26,20,100,200,26,20,100,200,26,20,100,200,26,20,100,200,26,20,100,200,26,20,100,200,26,20,100,200,26,20,100,200,26,20,100,200,12,16,200,100,12,16,200,100,12,16,200,100,12,16,200,100,12,16,200,100,12,16,200,100,12,16,200,100,12,16,200,100,12,16,200,100,20,10,200,150,20,10,200,150,20,10,200,150,20,10,200,150,20,10,200,150,20,10,200,150,20,10,200,150,20,10,200,150,20,10,200,150,True,True,100,-0.0021994679057750484
1600,13658,10078,16048,74,0.41681689347074313,0.16778784502825567,0.42488808429742153,0.28576632139683505,0.448445840944134,843,1154,4307,957,0.2629830155221308,0.27149642225207854,0,0,False,False,0,0,60,600.0006098069637,850.0004162339482,0.8000070407787899,22,12,75,75,22,12,75,75,22,12,75,75,22,12,75,75,22,12,75,75,22,12,75,75,22,12,75,75,22,12,75,75,22,12,75,75,26,30,100,100,26,30,100,100,26,30,100,100,26,30,100,100,26,30,100,100,26,30,100,100,26,30,100,100,26,30,100,100,26,30,100,100,20,14,150,100,20,14,150,100,20,14,150,100,20,14,150,100,20,14,150,100,20,14,150,100,20,14,150,100,20,14,150,100,20,14,150,100,True,True,100,-0.0022880175327183224
1601,14828,18285,12791,69,0.24970746856188886,0.12878404844384922,0.15807471461267764,0.07945427974457518,0.16985139077377137,828,630,2305,648,0.1384912321846002,0.31031194792347233,0,0,False,False,0,0,80,600.0009297613967,850.0001079304251,0.8000003516484311,12,14,150,100,12,14,150,100,12,14,150,100,12,14,150,100,12,14,150,100,12,14,150,100,12,14,150,100,12,14,150,100,12,14,150,100,18,22,250,100,18,22,250,100,18,22,250,100,18,22,250,100,18,22,250,100,18,22,250,100,18,22,250,100,18,22,250,100,18,22,250,100,12,12,200,100,12,12,200,100,12,12,200,100,12,12,200,100,12,12,200,100,12,12,200,100,12,12,200,100,12,12,200,100,12,12,200,100,True,True,100,-0.002515576591108743
1602,7149,16907,18352,108,0.4132165000700964,0.3042197860092893,0.0628820121795943,0.23857624971316932,0.21443228402828052,1231,190,3626,1477,0.26618827641157167,0.24408785451841364,0,0,False,False,0,0,55,600.0001379995597,850.0003331381162,0.8000090720298102,16,18,100,250,16,18,100,250,16,18,100,250,16,18,100,250,16,18,100,250,16,18,100,250,16,18,100,250,16,18,100,250,16,18,100,250,16,14,150,200,16,14,150,200,16,14,150,200,16,14,150,200,16,14,150,200,16,14,150,200,16,14,150,200,16,14,150,200,16,14,150,200,30,20,150,200,30,20,150,200,30,20,150,200,30,20,150,200,30,20,150,200,30,20,150,200,30,20,150,200,30,20,150,200,30,20,150,200,True,True,100,-0.0021994679057750484
1603,13066,13365,24190,81,0.18851736525418866,0.3903846969981868,0.16092548058764383,0.19596522179723558,0.4014244778615772,1038,1384,3369,1064,0.1277927013399555,0.3200706192299191,0,0,False,False,0,0,90,600.0004112886595,850.0005759517766,0.8000023071000438,18,12,75,75,18,12,75,75,18,12,75,75,18,12,75,75,18,12,75,75,18,12,75,75,18,12,75,75,18,12,75,75,18,12,75,75,16,26,100,100,16,26,100,100,16,26,100,100,16,26,100,100,16,26,100,100,16,26,100,100,16,26,100,100,16,26,100,100,16,26,100,100,12,16,75,75,12,16,75,75,12,16,75,75,12,16,75,75,12,16,75,75,12,16,75,75,12,16,75,75,12,16,75,75,12,16,75,75,True,True,100,-0.0026004968327615766
1604,4029,23633,24120,120,0.15235192124047064,0.22736520198497218,0.09190516059343473,0.39093770094738717,0.3955809348732251,1307,524,3893,1435,0.28894418729748933,0.415757378870819,0,0,False,False,0,0,90,600.0004236248902,850.0002635077815,0.8000016893121495,26,16,75,150,26,16,75,150,26,16,75,150,26,16,75,150,26,16,75,150,26,16,75,150,26,16,75,150,26,16,75,150,26,16,75,150,22,12,100,100,22,12,100,100,22,12,100,100,22,12,100,100,22,12,100,100,22,12,100,100,22,12,100,100,22,12,100,100,22,12,100,100,18,22,200,200,18,22,200,200,18,22,200,200,18,22,200,200,18,22,200,200,18,22,200,200,18,22,200,200,18,22,200,200,18,22,200,200,True,True,100,-0.0026004968327615766
1605,10850,7751,15847,74,0.31980940961130816,0.35861120885638126,0.18843048382846156,0.3167841691003579,0.35190928735267046,1311,503,4236,943,0.29046784580350354,0.10821562533730224,0,0,False,False,0,0,90,600.0006019097563,850.0002188933177,0.8000079105898844,20,10,75,150,20,10,75,150,20,10,75,150,20,10,75,150,20,10,75,150,20,10,75,150,20,10,75,150,20,10,75,150,20,10,75,150,14,18,100,200,14,18,100,200,14,18,100,200,14,18,100,200,14,18,100,200,14,18,100,200,14,18,100,200,14,18,100,200,14,18,100,200,18,12,75,75,18,12,75,75,18,12,75,75,18,12,75,75,18,12,75,75,18,12,75,75,18,12,75,75,18,12,75,75,18,12,75,75,True,True,100,-0.0026004968327615766
1606,12293,19291,32228,82,0.14226138381645426,0.41661821659223336,0.3613100690759906,0.3476064461587624,0.41694104457661185,1220,1157,3483,420,0.06485654349854653,0.0716789681865251,0,0,False,False,0,0,80,600.0008297029477,850.0009349733443,0.8000013597525439,26,18,100,150,26,18,100,150,26,18,100,150,26,18,100,150,26,18,100,150,26,18,100,150,26,18,100,150,26,18,100,150,26,18,100,150,16,14,150,200,16,14,150,200,16,14,150,200,16,14,150,200,16,14,150,200,16,14,150,200,16,14,150,200,16,14,150,200,16,14,150,200,26,26,100,200,26,26,100,200,26,26,100,200,26,26,100,200,26,26,100,200,26,26,100,200,26,26,100,200,26,26,100,200,26,26,100,200,True,True,100,-0.002515576591108743
1607,10621,24681,7941,107,0.22459784248649878,0.32549653362487246,0.4048446986855854,0.056708524566040336,0.1815711414642881,687,1397,3142,939,0.4228933994518957,0.2923915608571415,0,0,False,False,0,0,70,600.000530793515,850.0007927133955,0.8000071333946582,12,20,150,150,12,20,150,150,12,20,150,150,12,20,150,150,12,20,150,150,12,20,150,150,12,20,150,150,12,20,150,150,12,20,150,150,12,26,150,100,12,26,150,100,12,26,150,100,12,26,150,100,12,26,150,100,12,26,150,100,12,26,150,100,12,26,150,100,12,26,150,100,26,20,100,100,26,20,100,100,26,20,100,100,26,20,100,100,26,20,100,100,26,20,100,100,26,20,100,100,26,20,100,100,26,20,100,100,True,True,100,-0.0024158769243143416
1608,12423,18208,30597,107,0.0998847801761641,0.21953246421770567,0.11922221187095494,0.3400757019645144,0.3734886875143746,1359,237,2932,1375,0.2773183356261761,0.1206832533254617,0,0,False,False,0,0,50,600.0006425946023,850.0003337656063,0.8000026583876866,16,22,150,200,16,22,150,200,16,22,150,200,16,22,150,200,16,22,150,200,16,22,150,200,16,22,150,200,16,22,150,200,16,22,150,200,14,16,250,150,14,16,250,150,14,16,250,150,14,16,250,150,14,16,250,150,14,16,250,150,14,16,250,150,14,16,250,150,14,16,250,150,12,22,150,100,12,22,150,100,12,22,150,100,12,22,150,100,12,22,150,100,12,22,150,100,12,22,150,100,12,22,150,100,12,22,150,100,True,True,100,-0.002
1609,11896,18939,33353,93,0.36813828365478574,0.37879761613805213,0.23098160000181106,0.3879620008316626,0.25546657353678964,503,321,3794,726,0.1027006844063948,0.35826763408692075,0,0,False,False,0,0,70,600.0005110332239,850.0009087750234,0.8000061941791551,12,16,100,75,12,16,100,75,12,16,100,75,12,16,100,75,12,16,100,75,12,16,100,75,12,16,100,75,12,16,100,75,12,16,100,75,30,14,100,200,30,14,100,200,30,14,100,200,30,14,100,200,30,14,100,200,30,14,100,200,30,14,100,200,30,14,100,200,30,14,100,200,20,30,150,200,20,30,150,200,20,30,150,200,20,30,150,200,20,30,150,200,20,30,150,200,20,30,150,200,20,30,150,200,20,30,150,200,True,True,100,-0.0024158769243143416
1610,12769,22215,34641,110,0.4124966021820328,0.30325198838223966,0.34407017116196953,0.05759760757614035,0.1296868024847668,1031,350,2040,964,0.14300574061121185,0.11939256390904647,0,0,False,False,0,0,45,600.0008332232916,850.0003992040657,0.8000039213962862,16,10,150,150,16,10,150,150,16,10,150,150,16,10,150,150,16,10,150,150,16,10,150,150,16,10,150,150,16,10,150,150,16,10,150,150,16,14,150,100,16,14,150,100,16,14,150,100,16,14,150,100,16,14,150,100,16,14,150,100,16,14,150,100,16,14,150,100,16,14,150,100,10,10,150,200,10,10,150,200,10,10,150,200,10,10,150,200,10,10,150,200,10,10,150,200,10,10,150,200,10,10,150,200,10,10,150,200,True,True,100,-0.002
1611,3628,19028,19486,96,0.06294957932540035,0.24761087407607613,0.11356506595571414,0.3703244490743664,0.282838345342745,224,810,4628,946,0.1951719824754677,0.383283013938785,0,0,False,False,0,0,50,600.0004707647333,850.0000060822667,0.8000039739614944,26,16,150,150,26,16,150,150,26,16,150,150,26,16,150,150,26,16,150,150,26,16,150,150,26,16,150,150,26,16,150,150,26,16,150,150,30,22,75,100,30,22,75,100,30,22,75,100,30,22,75,100,30,22,75,100,30,22,75,100,30,22,75,100,30,22,75,100,30,22,75,100,14,10,100,100,14,10,100,100,14,10,100,100,14,10,100,100,14,10,100,100,14,10,100,100,14,10,100,100,14,10,100,100,14,10,100,100,True,True,100,-0.002
1612,15277,28475,29539,68,0.23635309580560632,0.06918063695698118,0.3762731138597705,0.4395909329836733,0.28228483029573526,471,374,2556,179,0.10041207838978816,0.16959543622585155,0,0,False,False,0,0,50,600.0009919242295,850.0001300824003,0.800009852244408,12,26,250,200,12,26,250,200,12,26,250,200,12,26,250,200,12,26,250,200,12,26,250,200,12,26,250,200,12,26,250,200,12,26,250,200,18,16,150,150,18,16,150,150,18,16,150,150,18,16,150,150,18,16,150,150,18,16,150,150,18,16,150,150,18,16,150,150,18,16,150,150,20,26,200,100,20,26,200,100,20,26,200,100,20,26,200,100,20,26,200,100,20,26,200,100,20,26,200,100,20,26,200,100,20,26,200,100,True,True,100,-0.002
1613,7830,25074,26928,95,0.3759145060011916,0.19681114050400123,0.40449189905598953,0.1982484935784788,0.10562816935549457,1326,947,3217,1256,0.4329064056433294,0.4362037078668995,0,0,False,False,0,0,60,600.0005395901183,850.0000274076938,0.800005189050808,26,18,250,150,26,18,250,150,26,18,250,150,26,18,250,150,26,18,250,150,26,18,250,150,26,18,250,150,26,18,250,150,26,18,250,150,14,16,100,75,14,16,100,75,14,16,100,75,14,16,100,75,14,16,100,75,14,16,100,75,14,16,100,75,14,16,100,75,14,16,100,75,18,16,200,250,18,16,200,250,18,16,200,250,18,16,200,250,18,16,200,250,18,16,200,250,18,16,200,250,18,16,200,250,18,16,200,250,True,True,100,-0.0022880175327183224
1614,12097,19849,22366,119,0.2520665813087785,0.4369122481913834,0.05130366304068337,0.1354781259801174,0.18930248703019964,1448,1344,3727,1349,0.3051635657267715,0.3335903412032547,0,0,False,False,0,0,80,600.0009346486876,850.0007606891007,0.8000092181985545,12,22,100,200,12,22,100,200,12,22,100,200,12,22,100,200,12,22,100,200,12,22,100,200,12,22,100,200,12,22,100,200,12,22,100,200,18,14,100,150,18,14,100,150,18,14,100,150,18,14,100,150,18,14,100,150,18,14,100,150,18,14,100,150,18,14,100,150,18,14,100,150,22,26,200,150,22,26,200,150,22,26,200,150,22,26,200,150,22,26,200,150,22,26,200,150,22,26,200,150,22,26,200,150,22,26,200,150,True,True,100,-0.002515576591108743
1615,14025,28296,24275,90,0.42308847512785364,0.40978524989678716,0.1771373686920289,0.26795686681777864,0.30310470580648163,1314,437,4494,652,0.3978720538544342,0.2527689974599702,0,0,False,False,0,0,70,600.000492839636,850.0008278499932,0.8000024597732265,30,18,100,100,30,18,100,100,30,18,100,100,30,18,100,100,30,18,100,100,30,18,100,100,30,18,100,100,30,18,100,100,30,18,100,100,10,12,100,100,10,12,100,100,10,12,100,100,10,12,100,100,10,12,100,100,10,12,100,100,10,12,100,100,10,12,100,100,10,12,100,100,26,22,75,100,26,22,75,100,26,22,75,100,26,22,75,100,26,22,75,100,26,22,75,100,26,22,75,100,26,22,75,100,26,22,75,100,True,True,100,-0.0024158769243143416
1616,6423,11329,24089,93,0.22043477414658602,0.09796418356626414,0.3650062210558601,0.24164870098207797,0.1491558341023719,816,415,4438,191,0.31038410655055965,0.07197981066551731,0,0,False,False,0,0,70,600.0005803800836,850.0000165642014,0.8000036311018377,16,20,75,200,16,20,75,200,16,20,75,200,16,20,75,200,16,20,75,200,16,20,75,200,16,20,75,200,16,20,75,200,16,20,75,200,26,26,150,200,26,26,150,200,26,26,150,200,26,26,150,200,26,26,150,200,26,26,150,200,26,26,150,200,26,26,150,200,26,26,150,200,30,22,250,150,30,22,250,150,30,22,250,150,30,22,250,150,30,22,250,150,30,22,250,150,30,22,250,150,30,22,250,150,30,22,250,150,True,True,100,-0.0024158769243143416
1617,5937,25348,21483,111,0.2391085953322965,0.24222941792565916,0.16218229035335996,0.2875510647738204,0.22666388708055027,829,1244,2763,336,0.3183563856487839,0.32705516684852315,0,0,False,False,0,0,90,600.0007156847371,850.0009849359299,0.8000012578839153,18,16,200,100,18,16,200,100,18,16,200,100,18,16,200,100,18,16,200,100,18,16,200,100,18,16,200,100,18,16,200,100,18,16,200,100,14,30,100,200,14,30,100,200,14,30,100,200,14,30,100,200,14,30,100,200,14,30,100,200,14,30,100,200,14,30,100,200,14,30,100,200,10,22,200,150,10,22,200,150,10,22,200,150,10,22,200,150,10,22,200,150,10,22,200,150,10,22,200,150,10,22,200,150,10,22,200,150,True,True,100,-0.0026004968327615766
1618,13546,21189,30148,118,0.2614086391336807,0.2026588540448625,0.3883225636372935,0.40056611501318606,0.3608894342459441,104,545,3542,955,0.32153966037445136,0.3979470747271386,0,0,False,False,0,0,70,600.0004559377435,850.000692683168,0.8000040906278205,18,16,200,200,18,16,200,200,18,16,200,200,18,16,200,200,18,16,200,200,18,16,200,200,18,16,200,200,18,16,200,200,18,16,200,200,22,10,100,150,22,10,100,150,22,10,100,150,22,10,100,150,22,10,100,150,22,10,100,150,22,10,100,150,22,10,100,150,22,10,100,150,10,20,250,200,10,20,250,200,10,20,250,200,10,20,250,200,10,20,250,200,10,20,250,200,10,20,250,200,10,20,250,200,10,20,250,200,True,True,100,-0.0024158769243143416
1619,10010,8397,24602,61,0.13061721708346438,0.29227809482891204,0.17462221406403705,0.0510491419682406,0.3120068038786458,1098,667,3149,868,0.4280630537491135,0.34068107152634053,0,0,False,False,0,0,70,600.0004263004327,850.0009247737432,0.8000037434427454,30,18,100,150,30,18,100,150,30,18,100,150,30,18,100,150,30,18,100,150,30,18,100,150,30,18,100,150,30,18,100,150,30,18,100,150,20,18,200,200,20,18,200,200,20,18,200,200,20,18,200,200,20,18,200,200,20,18,200,200,20,18,200,200,20,18,200,200,20,18,200,200,22,20,100,75,22,20,100,75,22,20,100,75,22,20,100,75,22,20,100,75,22,20,100,75,22,20,100,75,22,20,100,75,22,20,100,75,True,True,100,-0.0024158769243143416
1620,12739,14052,17104,87,0.25444917792272376,0.175132670038801,0.09969638355038035,0.05559515794273855,0.3681388273286539,1418,485,3585,597,0.07263373030964976,0.296701582713479,0,0,False,False,0,0,80,600.0000365937294,850.0009656454624,0.8000072073648402,12,18,150,200,12,18,150,200,12,18,150,200,12,18,150,200,12,18,150,200,12,18,150,200,12,18,150,200,12,18,150,200,12,18,150,200,12,14,100,200,12,14,100,200,12,14,100,200,12,14,100,200,12,14,100,200,12,14,100,200,12,14,100,200,12,14,100,200,12,14,100,200,14,16,100,250,14,16,100,250,14,16,100,250,14,16,100,250,14,16,100,250,14,16,100,250,14,16,100,250,14,16,100,250,14,16,100,250,True,True,100,-0.002515576591108743
1621,8143,20839,27588,105,0.270529860364705,0.09217983679924364,0.14730142130988455,0.06696402502490459,0.4027453043585294,830,1391,3260,1305,0.2957830515382203,0.20064696943132854,0,0,False,False,0,0,70,600.0008614691,850.0007294138677,0.8000013924584086,18,14,100,75,18,14,100,75,18,14,100,75,18,14,100,75,18,14,100,75,18,14,100,75,18,14,100,75,18,14,100,75,18,14,100,75,20,18,150,150,20,18,150,150,20,18,150,150,20,18,150,150,20,18,150,150,20,18,150,150,20,18,150,150,20,18,150,150,20,18,150,150,14,30,200,75,14,30,200,75,14,30,200,75,14,30,200,75,14,30,200,75,14,30,200,75,14,30,200,75,14,30,200,75,14,30,200,75,True,True,100,-0.0024158769243143416
1622,10186,8624,19009,64,0.2446602836758881,0.20834481009558942,0.12701265768959338,0.08269220336317748,0.3152760203329405,959,639,4218,728,0.08007358451550017,0.22372009831481382,0,0,False,False,0,0,80,600.000381777158,850.000412489415,0.8000094746761377,16,26,150,200,16,26,150,200,16,26,150,200,16,26,150,200,16,26,150,200,16,26,150,200,16,26,150,200,16,26,150,200,16,26,150,200,20,26,150,200,20,26,150,200,20,26,150,200,20,26,150,200,20,26,150,200,20,26,150,200,20,26,150,200,20,26,150,200,20,26,150,200,18,16,100,100,18,16,100,100,18,16,100,100,18,16,100,100,18,16,100,100,18,16,100,100,18,16,100,100,18,16,100,100,18,16,100,100,True,True,100,-0.002515576591108743
1623,13503,15058,28715,119,0.38677386357762195,0.43093522988391614,0.175298797825297,0.30942669356095415,0.16071459742825603,559,1372,4974,168,0.3424369370472582,0.09959498646859677,0,0,False,False,0,0,50,600.0009530130699,850.0003310582189,0.8000008283967716,20,12,150,200,20,12,150,200,20,12,150,200,20,12,150,200,20,12,150,200,20,12,150,200,20,12,150,200,20,12,150,200,20,12,150,200,20,30,200,100,20,30,200,100,20,30,200,100,20,30,200,100,20,30,200,100,20,30,200,100,20,30,200,100,20,30,200,100,20,30,200,100,18,20,100,150,18,20,100,150,18,20,100,150,18,20,100,150,18,20,100,150,18,20,100,150,18,20,100,150,18,20,100,150,18,20,100,150,True,True,100,-0.002
1624,4866,34379,7200,69,0.34210632748379044,0.4424142594070707,0.39094830175655776,0.4489340417159686,0.3985728401915839,901,1471,2839,154,0.17704003146125785,0.22293271765828737,0,0,False,False,0,0,45,600.0004509798559,850.0008027456614,0.8000081419367786,26,26,100,250,26,26,100,250,26,26,100,250,26,26,100,250,26,26,100,250,26,26,100,250,26,26,100,250,26,26,100,250,26,26,100,250,20,16,75,100,20,16,75,100,20,16,75,100,20,16,75,100,20,16,75,100,20,16,75,100,20,16,75,100,20,16,75,100,20,16,75,100,12,26,200,250,12,26,200,250,12,26,200,250,12,26,200,250,12,26,200,250,12,26,200,250,12,26,200,250,12,26,200,250,12,26,200,250,True,True,100,-0.002
1625,15839,14186,20420,98,0.12077918033899852,0.255429487931731,0.0760111736899691,0.39941736614460166,0.10948830097081258,360,1229,4405,1164,0.13746040799237313,0.15201284044015043,0,0,False,False,0,0,45,600.000672400165,850.0005784554694,0.8000002133771816,12,18,250,100,12,18,250,100,12,18,250,100,12,18,250,100,12,18,250,100,12,18,250,100,12,18,250,100,12,18,250,100,12,18,250,100,30,12,150,200,30,12,150,200,30,12,150,200,30,12,150,200,30,12,150,200,30,12,150,200,30,12,150,200,30,12,150,200,30,12,150,200,22,10,200,200,22,10,200,200,22,10,200,200,22,10,200,200,22,10,200,200,22,10,200,200,22,10,200,200,22,10,200,200,22,10,200,200,True,True,100,-0.002
